week,stock_trade_date,actual_stock_close_raw,predicted_stock_close,residual
2023-01-06,2023-01-06,10.43,9.263330390754831,1.1666696092451687
2023-01-13,2023-01-13,11.55,9.80264315304749,1.7473568469525116
2023-01-20,2023-01-20,11.91,10.070190738488112,1.8398092615118884
2023-02-03,2023-02-03,11.85,9.947849540867683,1.9021504591323168
2023-02-10,2023-02-10,11.19,10.031444017574987,1.1585559824250122
2023-02-17,2023-02-17,11.36,10.16908352710882,1.19091647289118
2023-02-24,2023-02-24,11.63,10.306158861372195,1.323841138627806
2023-03-03,2023-03-03,11.98,10.381544702626776,1.5984552973732242
2023-03-10,2023-03-10,11.44,10.19163010935907,1.2483698906409302
2023-03-17,2023-03-17,11.46,9.869962874265239,1.5900371257347619
2023-03-24,2023-03-24,12.01,10.426470108728493,1.5835298912715068
2023-03-31,2023-03-31,12.39,10.33008415737156,2.05991584262844
2023-04-07,2023-04-07,12.89,10.517026758983164,2.3729732410168367
2023-04-14,2023-04-14,13.94,10.958107568402097,2.9818924315979025
2023-04-21,2023-04-21,13.29,10.894493741884318,2.395506258115681
2023-04-28,2023-04-28,12.83,10.795060870211593,2.034939129788407
2023-05-05,2023-05-05,12.58,10.915199510738125,1.664800489261875
2023-05-12,2023-05-12,10.98,10.513539076038597,0.46646092396140304
2023-05-19,2023-05-19,10.89,10.670238653536941,0.21976134646305923
2023-05-26,2023-05-26,10.8,10.440839666481736,0.3591603335182647
2023-06-02,2023-06-02,11.59,10.810033301716201,0.7799666982837987
2023-06-09,2023-06-09,11.71,10.890294677488425,0.8197053225115756
2023-06-16,2023-06-16,12.03,10.976257574243107,1.0537424257568926
2023-06-23,2023-06-21,11.57,11.06282770388608,0.5071722961139198
2023-06-30,2023-06-30,11.37,10.79595915774926,0.5740408422507386
2023-07-07,2023-07-07,11.55,10.878389996538257,0.671610003461744
2023-07-14,2023-07-14,12.58,11.203149182142464,1.3768508178575356
2023-07-21,2023-07-21,12.53,11.219020007198939,1.3109799928010606
2023-07-28,2023-07-28,12.79,11.299441638529142,1.4905583614708569
2023-08-04,2023-08-04,12.85,11.371010881518806,1.4789891184811932
2023-08-11,2023-08-11,12.5,11.238172130687717,1.2618278693122829
2023-08-18,2023-08-18,12.08,10.962285856887537,1.1177141431124635
2023-08-25,2023-08-25,12.3,11.142055783908603,1.1579442160913977
2023-09-01,2023-09-01,12.8,11.327632440886378,1.4723675591136232
2023-09-08,2023-09-08,12.88,11.274455455063503,1.6055445449364978
2023-09-15,2023-09-15,13.15,11.478994368890467,1.6710056311095336
2023-09-22,2023-09-22,12.93,11.670348796615746,1.2596512033842533
2023-09-29,2023-09-28,12.13,11.309629403030726,0.8203705969692745
