week,stock_trade_date,actual_stock_close_raw,predicted_stock_close,residual
2025-04-04,2025-04-03,7.17,7.2314777491159346,-0.06147774911593462
2025-04-11,2025-04-11,6.56,6.5872686106907095,-0.02726861069070985
2025-04-18,2025-04-18,6.4,6.617618893839998,-0.21761889383999744
2025-04-25,2025-04-25,6.61,6.860834974506281,-0.25083497450628034
2025-05-02,2025-04-30,6.4,6.7007147071566395,-0.30071470715663917
2025-05-09,2025-05-09,6.42,6.520099214455165,-0.1000992144551649
2025-05-16,2025-05-16,6.61,6.885979100073199,-0.27597910007319904
2025-05-23,2025-05-23,6.62,6.990865516368368,-0.37086551636836784
2025-05-30,2025-05-30,6.54,6.858854319290901,-0.31885431929090124
2025-06-06,2025-06-06,6.73,6.830864285598556,-0.10086428559855598
2025-06-13,2025-06-13,6.8,7.044596390735817,-0.24459639073581751
2025-06-20,2025-06-20,6.9,7.006533518008048,-0.10653351800804778
2025-06-27,2025-06-27,7.12,7.169653790103829,-0.049653790103828754
2025-07-04,2025-07-04,7.16,7.216034762939669,-0.056034762939669136
2025-07-11,2025-07-11,7.27,7.285080794743401,-0.015080794743401071
2025-07-18,2025-07-18,7.24,7.174766263093761,0.06523373690623924
2025-07-25,2025-07-25,7.72,7.439056450031641,0.2809435499683586
2025-08-01,2025-08-01,7.39,7.192098269057747,0.19790173094225239
2025-08-08,2025-08-08,7.54,7.309301601353112,0.23069839864688824
2025-08-15,2025-08-15,7.96,7.368207846830818,0.5917921531691821
2025-08-22,2025-08-22,7.72,7.282305174768473,0.43769482523152714
2025-08-29,2025-08-29,7.83,7.3280394051936835,0.5019605948063166
2025-09-05,2025-09-05,7.7,7.302267866751986,0.39773213324801393
2025-09-12,2025-09-12,8.04,7.561325193657617,0.478674806342382
2025-09-19,2025-09-19,7.74,7.376100370312282,0.36389962968771794
2025-09-26,2025-09-26,7.62,7.33636898169257,0.28363101830743
2025-10-03,2025-09-30,8.24,7.290305782915953,0.9496942170840468
2025-10-10,2025-10-10,8.62,7.517754494385859,1.1022455056141398
2025-10-17,2025-10-17,8.47,7.49028930823191,0.9797106917680907
2025-10-24,2025-10-24,9.23,7.749451784700161,1.480548215299839
2025-10-31,2025-10-31,9.99,7.958504031599606,2.031495968400394
2025-11-07,2025-11-07,10.75,8.194053612978816,2.5559463870211836
2025-11-14,2025-11-14,11.66,8.501107176214905,3.158892823785095
2025-11-21,2025-11-21,10.52,8.21957717334853,2.30042282665147
2025-11-28,2025-11-28,10.51,8.552032151354982,1.9579678486450174
2025-12-05,2025-12-05,11.4,9.368408716851338,2.0315912831486624
2025-12-12,2025-12-12,10.75,9.283312102229758,1.4666878977702424
2025-12-19,2025-12-19,10.85,9.381337665863327,1.4686623341366722
2025-12-26,2025-12-26,11.84,9.667715223976018,2.1722847760239823
2026-01-02,2025-12-31,12.22,10.320091988738895,1.8999080112611058
2026-01-09,2026-01-09,14.05,11.990323697295658,2.059676302704343
2026-01-16,2026-01-16,13.26,11.047111762823935,2.212888237176065
2026-01-23,2026-01-23,13.23,11.501869435894918,1.7281305641050828
2026-01-30,2026-01-30,14.13,11.81370631697603,2.3162936830239715
2026-02-06,2026-02-06,12.89,10.665203275536944,2.224796724463056
2026-02-13,2026-02-13,12.69,11.177147222557927,1.5128527774420721
2026-02-27,2026-02-27,13.72,11.920566739478364,1.7994332605216368
2026-03-06,2026-03-06,13.97,13.115697161425242,0.8543028385747586
2026-03-13,2026-03-13,14.08,13.44537695223066,0.63462304776934
2026-03-20,2026-03-20,11.53,12.169236136575293,-0.6392361365752937
2026-03-27,2026-03-27,11.44,12.039189838124218,-0.599189838124218
2026-04-03,2026-04-03,11.21,12.879396681419436,-1.6693966814194354
2026-04-10,2026-04-10,12.35,13.145646452059736,-0.7956464520597368
2026-04-17,2026-04-17,12.69,14.090015460250509,-1.4000154602505095
2026-04-24,2026-04-24,12.07,13.175396860807954,-1.1053968608079536
2026-05-01,2026-04-30,11.65,12.823334208744646,-1.1733342087446452
2026-05-08,2026-05-08,11.9,12.858560508748763,-0.9585605087487625
2026-05-15,2026-05-15,10.93,12.726576096212902,-1.7965760962129025
2026-05-22,2026-05-22,11.15,12.83012516539399,-1.6801251653939904
2026-05-29,2026-05-29,11.42,12.449958523063875,-1.0299585230638755
2026-06-05,2026-06-05,10.68,12.466557351931026,-1.7865573519310267
2026-06-12,2026-06-12,10.8,12.222197619737752,-1.4221976197377515
2026-06-19,2026-06-18,9.38,11.962089251756035,-2.5820892517560345
